"id","address","area","website","contact_phone","name"
1,"臺北市內湖區安美街191號","北部","https://www.tcapo.gov.taipei/Content_List.aspx?n=8A474D4AA59E06B7","0287913254","臺北市動物之家"
2,"新北市新店區安泰路235號","北部","https://www.ahiqo.ntpc.gov.tw/cht/index.php?code=list&flag=detail&ids=27&article_id=104","0222159462","新北市新店區公立動物之家"
3,"新北市板橋區板城路28-1號","北部","https://www.ahiqo.ntpc.gov.tw/cht/index.php?code=list&flag=detail&ids=27&article_id=102","0289662158","新北市板橋區公立動物之家"
4,"新北市淡水區下圭柔山91之3號","北部","https://www.ahiqo.ntpc.gov.tw/cht/index.php?code=list&flag=detail&ids=27&article_id=122","0226267558","新北市淡水區公立動物之家"
5,"宜蘭縣五結鄉成興村利寶路60號","北部","https://animal.e-land.gov.tw/Content_List.aspx?n=8599430509E206D4","039602350","宜蘭縣流浪動物中途之家"
6,"臺中市后里區堤防路370號","中部","https://www.animal.taichung.gov.tw/1521481/Normalnodelist","0425588024","臺中市動物之家后里園區"
7,"臺中市南屯區中台路601號","中部","https://www.animal.taichung.gov.tw/1521481/Normalnodelist","0423850976","臺中市動物之家南屯園區"
8,"苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號","中部","https://animal.miaoli.gov.tw/News_Content.aspx?n=2186&s=104104","037558228","苗栗縣生態保育教育中心"
9,"彰化縣員林市大峰里阿寶巷426號","中部","https://www.chcgadcc.gov.tw","048590638","彰化縣流浪狗中途之家"
10,"南投縣南投市嶺興路36-1號","中部","https://adcc.nantou.gov.tw/1482/a24","0492225440","南投縣公立動物收容所"
11,"嘉義縣民雄鄉松山村後山仔37之2號","南部","https://ldcc.cyhg.gov.tw/cp.aspx?n=11689","052721119","嘉義縣動物保護教育園區"
12,"屏東縣內埔鄉學府路1號","南部","https://ptrc.npust.edu.tw/reservation-status/","0900493311","屏東縣公立犬貓中途之家"
13,"高雄市鼓山區萬壽路350號","南部","https://livestock.kcg.gov.tw/Pets/DongwuShourong/YuanquJieshao/YuanquJieshao01.htm","075519059","高雄市壽山動物保護教育園區"
14,"高雄市燕巢區師大路98號","南部","https://livestock.kcg.gov.tw/Pets/DongwuShourong/YuanquJieshao/YuanquJieshao02.htm","076051002","高雄市燕巢動物保護關愛園區"
15,"臺南市善化區昌隆里東勢寮1~19號","南部","https://ahipo.tainan.gov.tw/cl.aspx?n=5385","065832399","臺南市動物之家善化站"
16,"臺東縣臺東市中華路4段999巷600號","東部","https://sites.google.com/a/jbps.ttct.edu.tw/tai-dong-xian-dong-wu-fang-yi-suo/ren-yang-dong-wu-zhuan-qu/liu-lang-dong-wu-shou-rong-zhong-xin-1","089362011","臺東縣動物收容中心"
17,"花蓮縣鳳林鎮林榮里永豐路255號","東部","https://acdc.hl.gov.tw/cp.aspx?n=27059","038421452","花蓮縣狗貓躍動園區"
